user_id	score	date	review	is_month	is_repurch
sati*****	5	23.08.01.	진짜 귀얍게 잘 갖고 놀아요	True	False
kb****	5	23.07.03.	강아지 최애 공입니다. 노랑색을 유난히 좋아하네요	True	False
kare*****	5	23.05.24.	노견 푸들이 공놀이를 너무 좋아하는데 이빨이 약해서 탄탄한 공은 잘 못 물더라구요. 그런데 어쩌다 이 공을 추천받아서 써보니 말랑하면서 잘 던져지고 내구성도 좋아서 엄청 오래쓰다가 새로 구입하게됐어요! 4개 구매하니 알아서 색별로 챙겨주셔서 너무 감사합니다~!	False	False
cm****	5	23.05.18.	저희 강아지가 진짜 좋아하는 공이라 여러개 샀는데 좋아요	True	False
meji****	5	22.11.10.	"온것중에 빨강이 골라서 줬는데 환장하구 놀아욤 !!
막 뜯어버리는 애도 아니고 짱짱해서 오래 가지고 놀 것 같아 더 좋네요ㅎㅎ"	False	False
sixs******	5	22.12.16.	가격만족 배송만족 제품만족	False	False
kwy8***	5	22.12.03.	아주 잘 쓰고 있어요	True	False
djqo***	5	22.09.13.	뽁뽁이 소리나는 공을 좋아해서 늘 갖고 놀던 뽁뽁이 장난감이 소리가 안나서 가격도 저렴하고 해서 하나 구매해봤어요! 던져주니 아주 좋아해서 만족합니다! 그리고 라텍스 소재도 좋아서 인체에 무해할거 같아서 믿고 구매했어요^^	False	False
luxu******	5	22.06.04.	강아지가 젤 먼저 고른 장난감ㅋㅋㅋ 라텍스를 잘 좋아해용 굿	False	False
tart***	4	22.05.10.	강아지 잘 가지고 놉니다  많이 파세요	False	False
hsim****	5	22.01.22.	삑삑이 소리나는 부분 납작한 곳이 있어서 구르다가 멈춰서 좋아요.	False	False
imh7*****	5	21.11.16.	먼저 구매했었는데 좋아해서 재구매했어요.먼저구매한건 삑삑이가빠졌는데 새거오자마자 새거만  가지고노네요	False	False
dn****	5	21.09.29.	"삑삑ㅇㅣ 좋아해서 대량 구매해서 사용하고 있어요 
소리도 잘나고 모양다틀려서 너무 귀여워요"	False	False
shin****	5	21.08.30.	공 말랑말랑해서 잘 튀겨지고 아이도 좋아해요 생각보다는 크기가 작아요 테니스공보다 더 작아요	False	False
crkc***	5	21.05.24.	저번에 사서 너무 잘 가지고 놀았는데 어디로 갔는지 안보여서 사료 사면서 같이 주문했어요	False	False
sky0******	5	21.03.03.	이 제품은 잘믄들어진 공 입니다 추천~	True	False
tndu*****	5	20.12.18.	늘 여기서 구매하네요 추천합니다	False	True
hk****	5	20.12.02.	애기가 갑자기 너무 커서 작아져서 놀진 않지만 몇일 잘 가지구 놀았어요	True	False
zaq9*****	4	20.10.31.	배송도 빠르고 좋습니당	False	False
sixs******	5	20.11.03.	가격만족 제품만족 배송만족합니다	False	False
ri****	5	20.08.31.	5살 푸들인데 너무 좋아하네요 안 놀아도 계속 물고 있거나 꼭 주위에 놓고 있네욯ㅎ	False	False
somd***	5	20.08.21.	삑삑이 생각보다 튼튼해서 아직 잘 사용하고 있어요	True	False
somd***	5	20.07.22.	삑삑소리 잘나서 강아지가 좋아해요~	False	False
mudi****	5	20.07.21.	사실 삑빅이 인형 다 터트려서 속에 삑삑이 대신으로 사고 있는데 그냥도 잘 가지고 놀아요.	False	False
gusw******	5	20.05.01.	공사랑은 어쩔수 없네요 ㅠ 진짜 안 사줬을 어쩔뻔 ㅎㅎ 하루종일 물고 다녀요 ㅎ	False	False
stat*****	5	20.05.26.	애들이너무만족하고좋아해요	False	False
riji****	5	20.04.09.	상자 뜯으룯대부터 직접 와서 꺼내가더니 아주 공처돌이가 돼서 오늘 50번은 던지누것 같아요. 내구성은 써봐야 알겠지만 되게 좋아하네요. 탱탱한 게 아니라 말랑말랑한 공이고 삑삑 소리는 너무 크지 않아서 좋아요.	False	False
dbst********	5	20.04.24.	구매만족합니다 잘쓰고 있습니다	False	False
jy****	5	20.05.04.	다른건 반응이없지만 공은 넘넘 잘가지고놀아요~	False	False
crkc***	5	20.04.07.	댕댕이들 잘 가지고 논다길래 상품평보고 샀는데 잘 노네요	False	False
iris*****	5	20.03.22.	"잘가지고 놀아요 
색깔별로 보내주셔서 좋아요~"	False	False
tg****	5	20.04.08.	진짜 이거 주고나서부터 며칠동안 잠을 안자요..항상  가지고다녀요 ㅋㅋㅋ너무 귀여워 죽겟어요..	False	False
tndu*****	5	20.04.04.	매번 주문합니다 오프라인보다 저렴한듯해요	False	True
tndu*****	5	20.03.27.	귀여워요. 강아지가 좋아해서 추가 구매합니다.	False	False
oyos****	5	20.03.20.	"재구매상품.삑소리가 망가져서
강아쥐가 젤 좋아하는공입니다"	False	False
leew**********	4	20.03.05.	공놀이할때 좋을거같아요	False	False
mudi****	5	20.01.05.	"작아서 입에 쏙 들어가니까 더 좋아하는거 같아요.
(귀여우니까 저희집 강아지 봐주세요)"	False	False
gkfk*****	5	19.10.22.	한통 시켜버렸어요 실버푸들 키우는데 워낙 작은편이라 작은공만 좋아하는데 너무 작지도않고 크지도않도 너무 잘가지고 놀아요 이공만가지고 놀아요 ㅠㅠ	False	False
eunb******	5	19.10.08.	너무 좋아해요! 어떤걸 골라야하는지 모르겠대요	True	False
hanj******	5	19.09.21.	"오 애들이 넘 잘가지고 노네용ㅎ
또 구매할께요"	False	False
cjy7***	5	19.10.17.	좋은 상품 항상 감사합니다	False	False
sueb*****	5	19.09.18.	너무 잘먹어서 좋아요	False	False
eunb******	5	19.09.22.	완전 기여워요 ㅋ케	False	False
sixs******	5	19.08.04.	배송도 빠르도 제품도 좋습니다	False	False
oz****	5	19.07.12.	공놀이좋아해서 여러개주문했어요	False	False
ia****	5	19.06.19.	튼튼한데도 하루만에 아작이 났네요. 잘 놀았어요 ㅋㅋㅋ	False	False
kmsn***	5	19.05.16.	좀 더 딴딴한 라텍스를 원했는데 요 장난감도 살짝 부드럽네요ㅎㅎ 그래도 저희집 댕댕이는 너무 좋아합니다😆	False	False
s3****	4	19.03.27.	강아지가 좋아하고 잘 가지고놀아요	False	False
dudw***	5	19.02.28.	아이가 빡삑이 공을 좋아해서 종류별로 자주 구매해줍니다	False	False
hsja*****	5	18.11.05.	있던거 잊어버려서 여러개 구매했네요 	False	False
cute*****	5	18.11.07.	좋아용 ㅎㅎㅎ	False	False
many****	5	18.09.14.	저렴하게 잘 샀습니다. 	False	False
sixs******	5	18.08.23.	만족합니다	False	False
sixs******	5	18.08.23.	적극추천합니다 강아지가너무좋아합니다재구매의사도있습니다제품좋습니다배송도빠릅니다추천합니다만족합니다배송도빠릅니다추천합니다	False	False
yoda*******	5	18.05.12.	공장난감 너무좋아해서 사줬더니 하루종일 이거가지고 놀아달라네요ㅋㅈㅋ	False	False
sixs******	5	18.03.15.	대만족합니다 강아지가 너무좋아합니다^^일반샵에서는 3-4천원에 판매하는걸로 알고있습니다.대만족이구요, 추천합니다배송도 빠르구요 포장상태도 좋습니다	False	False
sixs******	5	18.03.15.	대만족입니다^^	False	False
dlsd*****	5	18.02.27.	던지고 물고 엄청 좋아해요.	False	False
bjjb******	5	17.12.30.	만족합니다	False	False
danb*******	5	17.11.28.	"소리나는 장난감 100일 지난 토이푸들 아이에게 장난감을 많이 사주려고 시켰는데ᆢ소리 나니 좋아요
조금 딱딱함"	False	False
mini***	5	17.11.25.	만득이만큼 좋아합니다. 작아서 입에 쏙 물리네요.	False	False
danb*******	5	17.11.28.	삑삐호리나요	False	False
pine*****	4	17.10.15.	좋아요 강아지가 잘 가지고 노네요 배송도 빠르고 좋아요 그런데 공 크키가 좀 작은 편이라 소형견들이 가지고놀기에 좋아요	False	False
haha****	5	17.10.28.	"잘삿어요 이건 뜯지도 못하고 애들이 잘가지고 노네요 ㅎㅎ
잘산거같아요ㅎㅎ 견당 하나씩인데 독차지하네요"	False	False
haha****	5	17.10.28.	만족합니다	False	False
hyun*****	5	17.10.12.	너무너무 좋아하네요 5분만에 삑삑이 고장내고도 계속 가지고 놀아요 ^^	False	False
ooy_***	5	17.10.20.	배송도 빠르고 강아지가 좋아해요^^	False	False
pine*****	5	17.10.15.	배송도 빠르고 좋아요	False	False
